"pid","story","vote_yes","vote_no"
41,"Erdos believed God had a book of all perfect mathematical proofs. God believes Gauss has such a book. ",525,34
42,"Gauss has Hilbert hotels on Mayfair and Park Lane.",65,6
43,"God does not play dice, unless Gauss promises to let him win once in a while.",184,12
49,"Q: What's purple and commutes? A: Whatever Gauss tells us it is.",47,12
50,"Gauss never has an underfull hbox (badness 10000) warning.",146,27
51,"For gauss, correlation implies causation.",34,18
52,"Only gauss knows both the exact location and exact momentum of a particle simultaneously.",92,16
53,"One time, Gauss solved the general quintic equation in radicals, but he decided we weren't worthy of the solution.",34,11
54,"Gauss can see all 11 dimensions and can create more whenever he wants.",30,11
56,"You know that theorem you just proved in your thesis? Gauss already proved it 200 years ago.",179,36
58,"Gauss considers infinity as the first non-trivial case in a proof by induction.",159,18
60,"There are no postulates, only theorems Gauss believes are unworthy of a proof.",105,38
61,"Gauss can vertex color every graph using a greedy algorithm in O(1) time.",24,5
62,"Gauss determined the orbit of Ceres with a quick skyward glance one night, but pretended to solve the orbit's eighth degree equation with three observations just to give the rest of us a chance.",45,5
63,"Gauss has an Erdos number of -1.",369,39
64,"Gauss can take the cross product of a vector and a scalar.",70,26
65,"Only Gauss knows whether Schrödinger's cat is dead or alive.  ",201,33
66,"Gauss's law actually states that everything in an enclosed surface has already been proven by Gauss.  ",110,29
70,"Gauss can break RSA, in his head.",59,7
71,"Gauss doesn't recognize complex numbers, they're all simple to him.  ",174,26
74,"Watching Riemann fail in proving his famous conjecture, Gauss got so angry that he smashed the unit interval in pieces. The result is nowadays known as the ""Cantor Set"".",86,17
75,"If you prove a theorem and Gauss proves a theorem, Gauss has proven more theorems than you.",34,19
76,"Gauss checked the infinity of primes by counting them, starting from the last.",337,44
77,"Gauss' open balls include their surface. ",21,14
78,"Gauss sorts in log n time.",121,8
79,"Gauss can let epsilon be less than zero.",269,38
80,"Gauss can prove by induction that all horses are of the same color.",72,11
83,"Unbounded sequences converge when Gauss is around. ",78,7
84,"A typical human brain has a magnetic field of 10^-9 to 10^-8 Gauss. The unit Gauss was invented to describe the magnetic field of Gauss' brain. Coincidence? I think not.",121,38
85,"Gauss shaves both himself and Bertrand Russell.",240,25
86,"Gauss can swap limits and integrals whenever he wants.",50,7
87,"Gauss can remove singularities by using Gaussian elimination.",31,8
89,"Whenever Gauss was tired, he'd just differentiate his need for sleep until it was back to 0.",34,16
90,"Gauss doesn't understand stochastic processes because he can predict random numbers.",42,2
91,"Gauss knows a polynomial-time algorithm for 3-SAT.",20,4
92,"Hilbert couldn't get a room at Gauss' Grand Hotel...it was booked solid.",95,24
94,"Gauss's integers are more awesome and complex than your integers.",27,10
95,"Gauss doesn't understand P?=NP. To him, everything is constant time.",65,9
98,"Chuck Norris learned from Gauss how to count up to infinity.",79,46
99,"Gauss classified the finite groups. When he was finished with the simple ones, there were none left.",40,7
101,"Gauss can choose an element in every subset of the real line.",33,4
102,"The universe is expanding so that entropy can increase faster than Gauss proves theorems.",79,19
104,"The set of theorems Gauss hasn't proved has measure zero.",47,27
105,"Let n be your age. Then lim n-> infinity (#{your theorems}/#{Gauss' theorems}) = 0. And Gauss is dead.",63,33
106,"Gauss saved the rainforest by omitting ""qed"" at the end of proofs.",193,51
109,"Gauss doesn't understand stochastic processes because he can predict random numbers.  ",227,21
110,"Gauss can invert matrices even if its determinant is zero.  ",46,15
111,"Gauss is the only one who can turn a circle inside out",21,7
112,"After reading a Gauss textbook, Maxwell decided to retire and dedicate its life to coffee.",62,10
113,"Gauss can differentiate e^x with respect to x down to zero.  ",49,22
114,"Gauss uses the squeeze theorem on oranges whenever he wants juice.  ",95,10
166,"Gauss hotel had room to accommodate all the guests from full Hilbert hotel, and still had rooms for all the reals.",40,14
116,"Gauss discovered the magnetic monopole ages ago, he just wanted to see how long it'll take us to find it.  ",51,16
117,"Gauss can take the line integral of a closed path over a gradient vector field and get 1. ",28,5
118,"Gauss counted all the ordinals",27,2
120,"Some series diverge because Gauss doesn't consider them worthy of summing up.",216,32
121,"Nature abhors singularities. But even it had to make way for Gauss to exist.",52,5
122,"Gauss doesn't need any axioms to prove theorems.",111,23
123,"If Gauss had published all his discoveries, there would be nothing left to prove.",92,18
124,"Gauss can walk through Konigsberg crossing its bridges once and only once",316,18
127,"Gauss can escape from a black hole.",39,13
138,"Gauss only took breaks from proving theorems to invent new algebras.",36,10
130,"Gauss knows Alice and Bob's shared secret. ",358,33
169,"Gauss created an engine more efficient than Carnot's",100,2
132,"Gauss can find a perfect cube larger than 8 in Fibonacci Sequence.",24,1
135,"The fact that Gauss is the greatest mathematician since antiquity is actually a theorem - A theorem proven by none other than one Carl Friedrich Gauss.",63,30
136,"Gauss can create electric field inside a conductor.",28,4
137,"Gauss can colour any given map such that no two adjacent areas share a colour, using only three colours.",20,10
139,"There is a 1:1 correspondence between the number of theorems Gauss has proved and the real numbers. ",99,29
141,"Gauss had to invent a new number to count his proofs: Aleph-Gauss.",80,29
142,"A mathematician is a device for turning coffee into theorems. Only Gauss can create theorems out of nowhere!",145,14
171,"Gauss considers using more than one digit a waste of time and thus writes numbers in base infinite.",112,22
168,"Gaussian Elimination is actually a secret martial arts technique.",194,42
146,"Gauss can read the Zodiac 340 cipher as in plain text, he just didn't publish the solution in order to save fun for us people.",13,6
148,"Gauss can walk beyond the speed of light, that's why we cannot see him, and why we think he has died.",39,33
149,"Gauss had already known the website 'Gauss Facts', so he saved his time for an autobiography.",34,11
150,"Gauss can measure the total Entropy in the universe",37,4
153,"Gauss proved Goldbach's Conjecture by checking each case.",47,9
154,"For Gauss, the limit always exists.",29,5
155,"Gauss can shave with Occam's razor.",187,13
156,"Gauss can solve the halting problem.",34,6
157,"Gauss solved the Twin Prime Conjecture by counting all of the Twin Primes until he found infinitely many.",32,3
159,"Gauss can colour any map using only one colour.",163,21
160,"Gauss's fundamental group is the monster group.",17,5
161,"Gauss didn't need to unify quantum mechanics and general relativity. He got the right theory from the start.",61,14
162,"When Carl Friedrich Gauss adds one, his number doesn't increase, all other numbers become smaller.",249,18
163,"Gauss developed Fractal Theory when he had broccoli for first time, but considered it obvious enough and didn't publish.",107,22
164,"Gauss gets definite values of indefinite integrals",31,10
167,"Gauss can calculate 100! only using one ""int"" variable in C.",25,19
172,"It's no secret Gauss was a child prodigy; his mother's womb inspired the divergence theorem.",38,5
173,"Gauss proved an omnipotent God since writing Q.E.D on a mirror.",39,14
175,"All theorems were once called ""The Gauss Theorem"", however Gauss allowed others to take credit so it wouldn't confuse everyone else.",134,29
176,"Gauss can solve a Rubik's cube in 3 moves.",37,10
177,"""Gauß's theorem"" is a pleonasm.",30,12
178,"When Gauss was thirsty, he used Banach–Tarski paradox to get more orange juice.",288,12
180,"Gauss can construct a pair of orthogonal Latin squares of order 6.",19,3
182,"Computer told Gauss the Eight-queens Puzzle has 92 answers,then Gauss showed it the 93rd one",27,8
184,"Gauss knows explicit well-orderings of the reals.",45,1
185,"Erdös used to say that he knew 37 different proofs of the Pythagorean Theorem.  Gauss knew 37 different proofs of the Riemann hypothesis, which he posed as an exercise to Bernhard Riemann while on his deathbed.",77,4
186,"Each of Gauss's fingerprints contains a proof of quadratic reciprocity.",52,5
187,"As a child, Gauss was instructed to sum the numbers from 1 to 100. He did this by summing the infinite series and then subtracting off every integer greater than 100, one by one, in his head.",295,43
189,"Gauss can comb the hair on a bowling ball.",44,9
191,"Gauss can recite all of pi - backwards.",287,64
193,"Gauss has observed the Higgs Boson.",49,15
195,"Gauss proved induction using a proof by induction.",86,28
197,"Gauss proved that the continuum hypothesis is not independent of his choice.",83,3
199,"They say Riemann is the name Gauss used to publish some unsatisfied papers. ",115,24
226,"Gauss can calculate the moments of the Cauchy-Lorentz distribution.",28,1
201,"Gauss knows if the continuum hypothesis is true or false.",34,6
202,"Andrew Wiles found Gauss's old school book, and copied off it to give us Fermat's Last Theorem",47,23
204,"Gauss can construct a regular 17-gon...using only a ruler. ",51,8
206,"When Gauss constructs a gray code, it's whatever colour he wants it to be.",39,5
212,"Gauss found BB(6), but his publisher refused to print it.",16,3
215,"Gauss can guard any art gallery all by himself.",105,8
216,"Gauss can prove two theorems with one proof.",144,9
352,"Gauss used induction with the real numbers. And it worked",57,31
218,"For Gauss finding a solution is easier than checking it, NP",17,8
219,"Gauss can prove axioms.",168,42
220,"For Gauss, non-correlation implies independence.",66,1
221,"Ink from Gauss's pen can cure cancer. Too bad he does all his calculations in his head and never uses a pen.",137,16
223,"Gauss can perform any algorithm in a polynomial number of Gauss-steps.",18,4
227,"Gauss knows the question to the answer 42.",24,11
229,"Gauss can trisect any angle while closing his eyes.",14,5
371,"Gauss finds all Lie algebras simple.",71,5
234,"Gauss can calculate the square root of -1 ... with a slide rule.",32,13
235,"Gauss invented numerical methods as a service to humanity. There's nothing he can't integrate.",20,8
237,"Gauss's watch can tell whether a Turing machine will halt or not.",25,2
240,"Gauss once proved an axiom, but he didn't like it. So he disproved it. ",230,14
241,"Gauss can take an arbitrary loop on the surface of a torus and shrink it to a point. ",34,2
242,"Gauss doesn't always divide by zero, but when he does, he gets the answer.",35,29
243,"Gauss chooses ε < 0.",50,11
244,"Guass does not factor numbers, numbers give Gauss their factorization",28,5
315,"Gauss was annoyed by the acoustic disturbance while he was working. To reduce it he invented gaussian noise.",29,5
246,"Gauss doesn't need to solve the Halting Problem — Turing machines halt whenever Gauss tells them to.",39,3
248,"Gauss knows which Turing machines halt, because they have to ask him for permission first.",47,6
251,"Gauss once determined whether P = NP, but didn't think it was important enough to publish.",22,13
252,"In elementary school when Gauss was asked if he could add 1 - 1/3 + 1/5 - ..., he replied it was as easy as a piece of pi.",47,10
256,"Gauss can numerically compute a Lesbesgue integral.",24,6
257,"Gauss can measure the random quantum fluctuation energy in the fabric of space-time.",13,3
259,"Gauss doesn't need to solve the halting problem.  Turing Machines halt whenever Gauss tells them to.",18,6
263,"At the age of 19, Gauss doubled the cube.  But he didn't want us to feel bad, so he pretended he'd only constructed the heptadecagon.",20,8
328,"Fermat thought the margin of the book was too small to contain the proof of his Last Theorems. Gauss knows a proof for which it is too large.",185,5
268,"For Gauss all knots are trivial.",24,4
269,"When Gauss breaks a magnet he ends up with two monopoles",183,7
270,"The backward heat equation well-poses itself for Gauss.",10,2
271,"Gauss is puzzled by Fourier coefficients. He only ever needs one coefficient, at most.",27,6
272,"When Gauss does Gaussian elimination, it takes O(N). If he pivots, it takes O(log(N)).",15,4
273,"The empty set is defined as the set of theorems Gauss can't prove.",187,44
274,"Gauss always get R-squared = 1.",43,7
276,"Gauss referred to mathematics as the ""queen of the sciences."" Guess who is the king? ",85,42
353,"Gauss decides if a unique factorization domain exists or not depending on how many ways he chooses to factor an element.",41,8
278,"The common phrase used by mathematicians, ""Let n be an integer"", is literally a request to Gauss to allow it to be so.  ",317,16
280,"Gauss once crossed all of Königsberg's 7 bridges while crossing every bridge only once.",55,5
282,"""I couldn't find a counterexample"" is an admissible mathematical proof if it's written by Gauss.",181,25
330,"Gauss can write out A(6,3) in decimal on an imaginary chalkboard in his head.",20,9
331,"When Gauss creates a spanning tree, he just draws one line that goes through all nodes.",53,3
286,"Gauss doesn't sort, he raises one eyebrow, and arrays sort themselves out in constant time, and throw themselves at his feet, crying for mercy.",171,19
289,"Gauss can find every solution for all Navier-Stokes equations, with or without singularities.",26,1
290,"After seven and a half million years of calculation, Deep Thought gave up and asked Gauss for the answer.",81,14
370,"The monster group is scared of Gauss.",165,2
293,"Gauss wrote Flatlands to explain the universe to God.",30,14
294,"Gauss can both pet and not pet Schrödinger's cat at the same time. ",72,13
295,"When Gauss wants to solve a problem in R^4, he visualizes R^n and then makes n=4.",75,17
297,"Gauss checkmated Watson in 3 moves using BASIC on an Atari 2600.",29,23
298,"Gauss knows an algorithm to compute the class group of any normal variety.",11,0
299,"Gauss proved the classification theorem of finite simple groups on less than ten pages. He then decided that his approach was rather obvious and didn't proceed to publish it.",23,8
301,"When you integrate, you integrate with respect to Gauss.",67,25
351,"Gauss solved the Kobayashi Maru, without cheating.",30,21
303,"To iron a shirt, Gauss first applies a diffeomorphism to transform it to a flat piece of fabric.",93,6
304,"Gauss can make any knot an unknot. ",23,3
305,"Gauss once confirmed the Riemann Hypothesis with a combinatorial proof.",36,8
306,"Gauss once got lost in a forest. So he added a few edges and reduced the forest to a single tree.",221,7
307,"No one respected Riemann until Gauss taught him a trick how to make conditionally convergent series converge to any limit.",23,9
309,"Before the Gaussian distribution was invented, every distribution was considered normal.",17,11
332,"Gauss can think of three vectors that are an orthonormal basis of R2",58,8
321,"To win a bet, Gauss once throw darts uniformly at random onto the real number line and hit only rational numbers.",70,18
314,"Gauss is the definition of normal; anything more than two standard deviations away from him is considered an outlier.",38,21
316,"Gauss has proven the Hodge Conjecture. With a Spork. ",19,6
360,"Gauss can run bogosort in constant time.",38,4
334,"Gauss disproved Godel's Incompleteness Theorem by exhaustion.",141,6
335,"Gauss was once bored on a rainy Thursday night, so using only the nand operator, he re-derived all of modern mathematics.",26,16
367,"Gauss once figured out an expression for every real number as a fraction, but he got bored writing them down. The ones he didn't document are now called irrational.",37,22
319,"Gauss can differentiate a constant and get a variable.",35,27
336,"Order of operations, as we use it today, comes from historians' efforts of looking through Gauss's proofs and deciding which order he performed operations in.",34,24
368,"Gauss can smoothly deform a sphere into a torus.",61,4
340,"The divergence of a magnetic field is only 0 because Gauss grew tired of silly variables.",24,9
342,"Gauss can power a small village for weeks using just the electric field inside of a conductor at equilibrium.",24,6
343,"Gauss knows of an efficient way of factoring large numbers into nontrivial primes, but gets such a laugh out of the general agreement of P != NP that he won't tell anybody.",33,19
345,"Gauss is an actual oracle for all reduction problems.",31,7
364,"Once, Gauss was stumped by a theorem that he couldn't prove. This was enough evidence for Godel.",139,25
365,"In mathematics the equivalent of a Nobel Prize is the Fields Medal. It is awarded to those individuals with the best Gauss impression that year.",51,29
366,"There are no closed form expressions for roots of degree greater than 5 polynomials because Gauss got bored writing them down.",28,16
373,"Gauss knows whether the set of all things that don't contain themselves contains itself.",47,2
374,"Gauss once constructed the set of all sets in his head.",50,7
375,"Mathematicians often leave proofs as an exercise for the reader; Gauss leaves his proofs as an exercise for God. ",155,35
376,"Not only does Gauss' general proof of Fermat's Last Theorem use only elementary arithmetic, it uses only minuses.",39,24
377,"It was only after Gauss' death that we had the concept of ""Largest known prime"". Till then, Gauss knew all infinity of them",92,32
378,"It was only after Gauss' death that we had the concept of ""largest known prime"". Until then, Gauss knew all infinity of them. ",45,15
379,"Gauss can find eigen-vectors of a rotation matrix.",37,25
380,"A discovery is just an unpublished invention of Gauss.",112,24
389,"Hilbert's problems are a compilation of twenty-three problems Hilbert took from a list of exercises Gauss had left to the reader in one of his manuscripts.",74,17
421,"Gauss can recite Graham's number, forwards.",23,4
383,"Clay Institute owes Gauss 7000000$",72,40
384,"Actually, Gauss knows the orbit of an Asteroid after only one measurement.",20,12
428,"A mathematician, a physicist, and an engineer walk into a bar. The bartender says, ""Hello, Professor Gauss.""",282,17
502,"When Gauss enters a tug of war the rope goes perfectly taut",31,3
386,"Asking Gauss whether or not a statement is true or false constitutes a rigorous proof",232,7
424,"Gauss knows which of Monty Hall's doors to open.",33,17
387,"Gauss once created an axiomatic system that was both consistent and complete",53,8
388,"When Godel heard that Gauss could prove anything, he asked Gauss to prove the statement ""There exists a statement that Gauss cannot prove.""  gauss proved the statement, but there was still no statement he could not prove.  This is how the quantum state was born. ",170,37
392,"God once said he'd end the world after someone solves the Tower of Hanoi problem containing 64 pegs. Gauss solved it in about a hundred steps just to prove that God was kidding.",91,13
394,"Gauss once simultaneously diagonalized all n by n matrices.",64,6
396,"Gauss can convert Meters to degrees Celsius.",121,67
404,"L'Hôpital's rule was invented because only Gauss can multiply infinity by zero.",42,19
406,"Gauss can calculate the solution to the Boolean satisfiability problem in O(1) time.",13,4
407,"Gauss can fill a Klein bottle.",118,6
408,"Gauss has never lost or even drawn a game of tic tac toe even against the best computer program.",31,12
447,"Gauss taught himself to square the circle in second grade. By third grade, he didn't even need the straightedge or compass. By fourth grade, he didn't even need the pencil. By the time he got his first PhD in fifth grade, he didn't even need the circle.",65,13
412,"Gauss found inconsistencies in Godel's proof",68,4
441,"Gauss can had a 3 colour theorem proof, but liked the colour blue so kept four colours.",41,18
414,"All butterflies dream that they are Gauss",21,6
438,"Gauss never needs to resort to a Martingale strategy while gambling. He wins every bet.",40,7
418,"Gauss once proved that 1+1=2 exhibiting a counterexample for any other case.",56,8
419,"Gauss never understood the concept of NP problems because the first feasible solution he uses is always the optimum.",49,8
420,"For Gauss, every game is determined... It doesn't matter if it is finite or not...",25,7
422,"Riemann stole a proof from Gauss' book, but he couldn't understand it and called it Riemann's hypothesis. ",44,19
423,"Gauss made the Kessel Run in one parsec.",38,24
430,"Gauss has already solved the infinity-body problem.",20,13
431,"Gauss once managed to square the circle, using only his fingernails and a piece of chocolate. ",27,21
433,"Gauss never proved a theorem, they're all lemmas for him.",54,22
434,"Gauss doesn't integrate with respect to x, x differentiates with respect to gauss. ",89,26
436,"Gauss can prove the consistency of the axioms within the system.",38,8
439,"Gauss can construct a regular (a+ib)-gon for any a,b in R using just a straight-edge and compass.",38,9
440,"Once in his free time, Gauss found about a hundred distinct imaginary numbers on the real line.",30,16
454,"Gauss uses home-grown abelian grapes for winemaking.",48,18
457,"Gauss can draw as many lines as he wants through any point not on a given line parallel to the given line in a plane.",73,5
458,"Riemann once said ""If only I had the theorems! Then I should find the proofs easily enough."" Sure, if by finding he meant asking Gauss.",88,3
459,"Gauss doesn't have to stand on the shoulders of giants to see further than anyone else.",152,4
444,"Gauss proved the parallel postulate using only a straightedge.",30,4
445,"Gauss proved that the Mandelbrot Set is locally connected by drawing the boundary by hand.",120,4
446,"Gauss can find the cross product of two vectors  in any n dimensional space.",36,11
448,"Gauss can prove the consistency of ZFC.",51,6
449,"For Gauss, continuity implies differentiability.",44,8
485,"Gauss can find non-cyclic Abelian groups of order n where n does not have repeating prime factors.",25,5
462,"Gauss can understand income tax.",93,14
463,"Every cardinal is easily accesible for Gauss.",73,2
464,"Gauss manages his personal finance using conditional convergent series so he can get any amount of money he wants.",33,4
466,"Gauss can turn a circle inside out, unfortunately he did it once and left it that way and now we can't turn it back.",39,8
467,"Gauss can transport a bag of grain, a chicken and a fox over a river even if there is no boat",226,9
468,"If you fire an electron at a screen with two slits in it and a Gauss on the other side the electron refuses to go through either slit",116,11
469,"A prime number is a number divisible only by one, itself and Gauss",61,21
471,"G.Perelman didn't accept Fields medal since he felt it would be unfair for him to take credit for the proof Of Poincare conjecture he found in one of Gauss unpublished notebooks.",96,12
472,"Gauss is the only person whom Archimedes allows to disturb his circles",66,3
475,"Gauss can solve Hume's problem of induction.",23,4
476,"Gauss's mathematical discoveries are certain AND they refer to reality.",60,5
477,"Gauss actually won a Nobel Prize in Mathematics.",178,11
478,"Gauss can solve problems in time O(0).",53,10
499,"Whenever Gauss played tennis, he made sure first to comb all the fur on the ball smoothly.",128,11
483,"God does not play dice with the universe, but Gauss does.",116,9
486,"Gauss once hurt Kroniker's ego by telling him ""Actually, God gave us just the transcendental numbers; the rest are man's approximations"". ",42,10
487,"Gauss used to refer to complex numbers as ""Not necessarily real but just as simple"" numbers",43,9
492,"The Millennium Problems are trivial. That's why Gauss never bothered to prove them - he left them as an exercise for the reader.",64,17
488,"There is no Nobel Prizes in Mathematics because Gauss earned them all the first year Nobel was giving them.",77,25
507,"Contrary to a common belief, Gauss is actually worth 10,000 Teslas.",34,5
491,"Gauss can solve all polynomial equation by radicals... in polynomial time.",25,8
493,"What Fermat meant to say was in fact: ""(...) I have found a remarkable proof of this fact in Gauss's notebook, but He used wider margins than this book does.""",44,15
494,"Gauss doesn't understand why some people think P != NP. He can solve anything in constant time.",39,9
495,"Gauss can prove theorems by using induction on the reals.",50,13
496,"Gauss doesn't walk, he just rotates the Earth below him.",36,14
497,"Gauss doesn't do Lagrange multiplers - for him there are no constraints!",76,4
498,"""Only two things are infinite, human stupidity and Gauss' intellect , and I'm not sure about human stupidity"" - Albert Einstein",76,11
500,"Gauss also discovered Galois Theory, but also won a duel, AND got the girl. Take that, Evariste!",70,12
503,"Gauss keeps monster sets as pets",48,8
504,"Principia Mathematica was Bertrand Russell's best attempt to translate what Gauss originally wrote in a single haiku",105,13
505,"Gauss invented the infinite improbability drive",24,13
506,"Give Gauss a solid place to stand and he'll move the universe",43,7
508,"Gauss actually disproved the clause: ""Gauss cannot prove that this clause is true"".",59,5
509,"Gauss was less Bayesian than Bayes was Gaussian.",10,0
511,"Mathematics is invented by Gauss for others to discover.",43,7
657,"If Gauss attempts to solve an equation for which there is no solution, mathematics will change to allow one. This is why fractions and irrational, negative and imaginary numbers exist.",76,11
654,"Gauss can count until pi with his fingers.",10,4
658,"Gauss can fill 75% of the volume of a cubic box using only close-packed spheres.",40,4
615,"It is conjectured that a long time ago, Gauss performed an inversion about a small sphere in the universe. Scientists call this the Big Bang theory.",66,7
618,"Gauss knows whether P = NP, he just thought it would be more fun if you figured out for yourself.",65,7
617,"If G is the set of theorems Gauss proved, then the powerset of G contains less elements than G.",27,12
619,"The flaw in Godel's impossibility theorem is that he forgot to account for the existence of Carl Gauss.",40,9
621,"Carl Gauss once calculated out every possible outcome of a game of chess. (Hint: every one involves him winning.)",40,8
622,"Gauss knows whether the glass is half-full or half-empty.",35,4
623,"If Carl Gauss tells you he's lying, you better believe it.",73,2
515,"""Only two things are infinite, the human stupidity and Gauss' intellect, and I'm not sure about the human stupidity."" - Albert Einstein",68,14
516,"On Day One Gauss divided by 0 and thus the universe was created.",9,1
604,"Gauss stopped doing mathematics after he wrote proved more than aleph-null theorems, but before he proved aleph-one of them.",68,9
603,"Gauss invented the first 64qbit quatum computer 200 years ago, but it slowed down his work...",101,6
606,"The halting problem didn't exist until Gauss made a turing machine that halts only when he wants it to.",30,13
607,"Gauss can see the color of his own hat.",172,5
608,"Gauss can solve Towers of Hanoi in  polynomial time.",51,8
609,"A real number is constructible with straightedge and compass if and only if Gauss never felt like freehanding it.",35,6
614,"When Gauss thinks about The Game he wins.",77,21
612,"Gauss can split a bar magnet and produce two magnetic monopoles.",73,5
651,"God created the integers.  The rest is the work of Gauss.",129,9
650,"Gauss classified all finite simple groups in the space Fermat left in the margin.",89,3
648,"The third dimension exists because Gauss created it to get gas, water, and power to his three friends' houses.",85,7
659,"Mr. and Mrs. Gauss invented the Gaussian copula on their wedding night.",20,14
660,"Gauss once chopped up a pea, and reassembled it into a sun.",54,10
719,"Gauss once told a man he would beat his face in. The man made the mistake of telling Gauss to prove it.",22,4
918,"Gauss knows every digit of the number one... in base pi.",17,8
729,"when gauss goes stargazing he sees the end of the universe",11,1
730,"Gauss is not troubled by problems, problems are troubled by Gauss.",100,4
732,"It's unbelievable that some people compare Gauss to God. I mean, He's cool and all, but he's no Gauss...",24,6
739,"Entropy naturally reverses itself around Gauss. It is the universe's way of looking busy when he's around.",30,0
740,"There does not exist any finite number n such that n near-sighted policemen could keep Gauss from sneaking into the town.",24,2
742,"Carl Gauss can honestly say he's lying.",31,1
743,"Gauss once proved a theorem, but he didn't like it. So he disproved it.",41,2
744,"The empty set is defined as the set of all the true statements Gauss cannot prove.",106,11
745,"""Only two things are infinite, the universe and Gauss' intellect , and I'm not sure about the universe"" - Albert Einstein",34,1
747,"“Whoever undertakes to set himself up as the judge of truth and knowledge is shipwrecked by the laughter of Carl Gauss.” - Albert Einstein",32,5
734,"Gauss knows there are no uninteresting numbers, because he knows the interesting thing about each one.",42,3
735,"Gauss skips Step 2 of the Feynman problem solving algorithm: 1. Write down the problem. 2. Think very hard. 3. Write down the answer.",119,6
894,"Gauss can calculate the determinant of a non-square matrix",41,2
919,"It's acceptable when Carl Gauss uses circular reasoning. (I know because he told me.)",17,5
896,"Gauss is the only person who knows if Schrödinger's cat's still alive - he doesn't need to look to know this",19,4
762,"When Hilbert complained that every room in his hotel was full, his friend Gauss did him a favor and found a spot for the next guest.",17,3
763,"Gauss wins a car no matter what door he opens.",163,6
782,"Gauss proves the well-ordering theorem by glaring at the set in question until it orders itself out of sheer terror.",75,4
822,"Black holes are the result of Gauss cutting up stars and reassembling them into peas.",22,2
1079,"The actual statement of Godel's incompleteness theorem is that every consistent system cannot prove the existence of Gauss ,and it directly implies the version we know nowadays.",14,6
849,"The annihilator of a ring is actually a finisher wrestling move developed by Gauss.",23,4
850,"Gauss invented Newton AND Leibniz.",40,16
942,"Central Limit Theorem was the excuse God invented to obey Gauss.",22,3
943,"Gauss can count to aleph-one.",21,2
913,"Gauss knows the momentum and position of everything at all times.",10,3
914,"The frost on Gauss' beer glass is Bose–Einstein condensate",28,3
1007,"Gauss proved there were no uninteresting numbers...constructively.",31,0
1072,"Gauss, only using three sticks whose lenghts are a, b, c, can build a triangle even if a + b < c",20,3
939,"Gauss doesn't need to use L'Hopital's Rule. Indiscriminate problems just answer themselves for him.",8,1
940,"Gauss is able to draw a logarithmic plot including the origin.",22,3
875,"Gauss prefers to work with matrices with an irrational number of entries. ",26,0
876,"Gauss can make a combination of linearly independent vectors equal 0 (without coefficients of 0) just by brute force.  ",14,4
1067,"At night, theorems sit around the campfire and tell stories about Gauss .",59,3
1069,"All your theorems are belong to Gauss.",41,12
1076,"God and Gauss have a deal.  When God finally stumps Gauss with a theorem to prove, the world will end.  Since we're still on Earth guess how that's going?",14,1
